applicant_id,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history
XAJI0Y,588,50000.0,9.172426542410628,5,5,On Time
6DPBHS,817,50000.0,43.76227080143551,4,5,On Time
AHXTHV,813,50000.0,39.167884200927936,14,3,On Time
3A3ZMF,693,50000.0,19.19077078467117,18,4,On Time
8MDD4V,755,50000.0,28.442380568402736,14,8,On Time
30T9NT,719,50000.0,27.934414795097773,6,6,On Time
3W5UZB,601,50000.0,8.575931405222434,16,0,On Time
IKCIDK,765,50000.0,23.353278963928453,20,1,On Time
WNNHJ7,814,43052.20747006111,9.88795818915264,0,0,Last 30-60
XVG0FN,694,50000.0,26.230958147181404,13,8,On Time
9XUY41,771,50000.0,9.608507588829966,18,9,Late>60
IBLJH7,649,50000.0,39.99845516935165,15,0,On Time
5LXO6Q,793,50000.0,40.32752456270581,1,2,On Time
JIUJV6,720,17614.254617780607,24.598431302400186,20,5,Late <30
OH9SDB,718,50000.0,26.67086472949418,6,5,On Time
DW2PCN,757,50000.0,40.23890145079243,11,8,On Time
9T84AZ,842,40947.383486479004,28.524090748389497,8,8,On Time
YTJXEP,762,38743.054896094574,9.981264077918986,16,3,On Time
Q85JSG,633,50000.0,33.65046099248101,6,0,On Time
65KXVF,662,22363.203171993257,30.20387114466815,13,9,On Time
1T2TAL,714,50000.0,10.666704997473103,18,8,On Time
A753LC,759,29855.347266456334,39.95487722220795,1,1,On Time
58DRC1,627,50000.0,23.887508808797033,7,9,On Time
1ERTJ5,747,42849.60573156982,17.37453049603028,0,9,On Time
PHT0HL,791,34388.68609820077,9.318542040219977,1,3,On Time
9XPSEI,679,42089.96195037221,39.79103088521615,19,6,On Time
MVIHCW,877,50000.0,45.4582671674008,14,1,Late <30
I64CIY,660,38163.05001739293,33.96438255100915,14,8,On Time
HE7UR2,736,50000.0,33.85270725541395,18,4,On Time
3GDPPQ,552,50000.0,29.003338256459294,1,9,On Time
0Y9DOM,694,35246.72413386324,39.325482987601475,4,8,On Time
5IGQPK,708,50000.0,52.8178472754274,11,8,On Time
I7P5TB,685,50000.0,8.350137789251896,12,7,Late <30
94874F,661,42990.04395376711,17.309937363060754,15,2,On Time
RHOCN9,678,50000.0,19.14584173559887,7,8,On Time
J2QP89,770,50000.0,16.759460456467814,4,2,On Time
UZFK8U,566,45652.98284329217,21.767292632622496,20,8,On Time
T0CVS4,571,48162.419529653336,17.131767510283314,10,1,On Time
F8CGVY,680,50000.0,50.99585636616833,10,10,On Time
IE6IVW,710,37717.8784474604,27.780112109456688,9,10,On Time
PVS7HZ,657,44660.73111064876,16.323709103838198,12,6,On Time
IOYKL1,725,50000.0,14.337891004281222,10,10,Late <30
CQ99CH,769,50000.0,19.511106157899928,18,1,On Time
J755NF,798,46033.303016319725,31.003509611772117,0,4,Late>60
4ZW9XA,825,38775.719283940685,24.966275853394336,20,1,On Time
3KX7EE,614,31668.07485693871,29.76474646996398,10,7,On Time
DTJVZH,658,50000.0,5.654477039565744,3,1,On Time
WJR64D,649,47182.65734314529,37.227127068613875,0,8,On Time
PJA1WJ,800,50000.0,41.16131212379665,20,1,On Time
0TPAC5,669,47649.11017473066,48.05503109731061,5,3,On Time
6T4UFE,744,50000.0,46.953923375382175,15,6,On Time
L6246H,606,50000.0,31.96897494713703,9,8,On Time
ID25OW,668,50000.0,48.84245774586945,10,2,On Time
F75935,648,50000.0,6.55592831642504,15,1,Late>60
A0L725,774,50000.0,16.39491713282262,8,5,On Time
3J2D54,620,50000.0,44.86015412351062,11,0,On Time
I3QK2I,862,50000.0,27.77714902629228,19,4,Late <30
AGL58K,737,50000.0,49.400166907297134,16,7,On Time
XO9T7E,661,44448.928002847424,22.783437501786416,19,2,On Time
8G8JDP,747,50000.0,42.42692896735239,10,4,On Time
0LVSNU,654,38113.55658842774,37.68007500141727,0,8,Last 30-60
JZA7TZ,635,50000.0,23.986936649987936,5,0,On Time
0YNCXL,775,25819.24412661633,8.185922159139665,9,8,On Time
L4ZKLO,829,50000.0,19.610932269368554,7,0,Late>60
OKEP7Y,750,40227.840626946476,22.77363466868053,13,3,On Time
6WKTAK,621,50000.0,45.92590091104459,18,0,On Time
PUXQPH,654,50000.0,26.70456543943282,20,7,On Time
R62GDS,842,50000.0,28.276551651054927,6,6,On Time
WM31YI,783,50000.0,33.627064022889385,6,2,On Time
HAIR4C,629,29025.214160365584,12.836084068174525,5,4,On Time
OWGZRI,662,50000.0,40.702223706132855,18,1,On Time
XA11DP,734,50000.0,41.09877320161653,10,9,On Time
G8SBI4,708,41398.759884114195,59.73578429688708,0,4,On Time
Q2Y9V8,887,50000.0,44.54015553535438,5,4,On Time
6WZS3T,661,30151.479378517706,42.79982543090458,12,8,On Time
60RJIW,767,50000.0,42.24705697154154,17,4,On Time
1SWJCK,743,50000.0,29.931193278732522,1,10,On Time
JLTEIY,587,50000.0,18.27811058172325,16,1,Late <30
ZCOTOH,528,39894.72940146408,20.867196009637578,16,2,On Time
P6VZ41,689,50000.0,25.298581587286122,1,5,Late>60
NAM148,753,44168.1660620766,32.50369180863085,0,10,On Time
P0TVHH,847,50000.0,14.830059596611967,11,0,On Time
PBMYOF,657,50000.0,26.22540697389169,11,5,On Time
QEWAOU,757,50000.0,30.054319448656862,4,4,On Time
AXEQBN,696,50000.0,35.40606771219624,15,1,Late <30
HL1N13,858,50000.0,29.22532503874702,15,1,On Time
JCAT9M,716,50000.0,33.156399227812436,12,1,On Time
X2X18H,684,50000.0,17.60884647115746,6,2,On Time
AFEYUH,733,47168.23077149903,43.713882664301856,11,9,Last 30-60
Z1GV0E,735,50000.0,10.327225061683642,13,1,On Time
38DALY,831,50000.0,16.061648274341174,19,2,On Time
8OZCYW,720,50000.0,36.4218936829735,8,8,On Time
D14VE9,754,50000.0,31.860128651954255,10,2,On Time
2MPNSM,587,50000.0,13.343762928560828,10,6,On Time
43D8W3,627,50000.0,36.15382542994144,19,2,On Time
ZP08J3,689,50000.0,19.38660969170765,19,5,On Time
TRP0J4,728,43623.661291174954,11.208719378471864,1,8,On Time
3D5IQV,659,50000.0,17.501289526310302,14,5,On Time
NB4GH2,742,50000.0,14.524507767524414,17,3,On Time
M5ZJA8,678,50000.0,6.569751224046161,11,4,On Time
DZR1YX,855,23488.712003396533,40.520372275763904,6,7,On Time
R2DHYL,703,50000.0,52.96623133660565,11,10,On Time
URTP0L,754,36108.333054237024,33.35039423429919,2,7,On Time
ZJJEGE,702,43249.59088141811,18.885923410571426,9,6,On Time
T1GHR0,712,50000.0,31.143982467066856,8,10,On Time
9SKDGI,763,39530.06285647159,50.65755035393658,14,4,On Time
GATJ9T,731,50000.0,12.1190547856467,6,8,On Time
ZE5R5U,678,50000.0,31.32984699450037,3,0,On Time
QPGB7R,746,50000.0,29.867702215304643,13,3,Late <30
3OCWBF,707,50000.0,17.607361185629205,17,10,Late <30
UK9E1V,766,50000.0,16.448544897860064,11,9,On Time
2ISQP4,811,50000.0,13.309617882138966,10,6,On Time
9KWV08,799,50000.0,31.035996996125004,2,4,Late>60
HHXFGC,635,50000.0,24.4393493553392,4,3,On Time
AQVKIZ,477,50000.0,33.926867312362106,2,10,On Time
ZQY72W,900,50000.0,33.697326056624945,5,4,On Time
X7PTX6,761,50000.0,12.614684722989935,0,0,On Time
3CFL0U,750,50000.0,11.262231547997645,4,3,On Time
KEYZ7S,663,50000.0,40.10508147020833,20,0,On Time
RCBPLJ,555,50000.0,38.43823286907731,13,1,On Time
D84U89,559,50000.0,49.19074525336194,8,8,On Time
YJB1QX,693,50000.0,52.453765616983574,9,4,On Time
6GVWRD,732,50000.0,30.121773552366992,19,8,On Time
MLY4LY,854,35049.369944428414,18.81342139227363,10,8,On Time
K83TQL,739,50000.0,51.016016909095555,9,9,Late <30
L8OS9X,773,50000.0,47.895730215904905,2,4,On Time
TOGN1W,677,50000.0,36.96600187635398,15,2,On Time
1HT7PZ,683,50000.0,13.967999713030386,13,3,On Time
E9VIFT,602,50000.0,20.510877679116895,12,4,Last 30-60
TD96QE,621,34804.9551904163,31.043076129099965,12,10,On Time
3RZSJ4,620,28527.28852867626,18.102871029549455,2,5,On Time
9ITN7S,690,50000.0,18.006419811816844,16,5,On Time
55J2O7,586,37093.11733122411,33.7849848899843,8,7,On Time
S3KKV9,655,40208.854721978016,34.30330470223851,5,7,On Time
RFTMTT,716,50000.0,39.36596749340376,19,7,On Time
QLGZUI,527,50000.0,57.25949440226176,13,2,On Time
1B0Z3N,838,50000.0,38.497482018251496,20,3,On Time
X39RBS,862,50000.0,21.28937903642415,19,3,On Time
V55PSQ,802,50000.0,24.57087315854201,16,10,On Time
0OXFQ8,751,28499.268102445727,44.64166808473129,13,10,On Time
MYX444,746,50000.0,32.47048139925807,2,10,On Time
NLZ15B,762,50000.0,33.7793135785162,1,6,On Time
